Message_Subject, Author, Received_Reply, Time_of_Day, Day_of_Week, Message_Length, Any_Attachments, Archive_URL
question (for lydia ng perhaps), Rick Frank, no, 12:00:17, Thu, 2972, no, http://www.itk.org/pipermail/insight-users/2011-August/042189.html
Gaussian filters difference, Dženan Zukić, no, 06:02:45, Thu, 3224, no, http://www.itk.org/pipermail/insight-users/2011-August/042184.html
USE_ImageViewer;, 369328686, no, 04:26:23, Wed, 2750, no, http://www.itk.org/pipermail/insight-users/2011-August/042235.html
filter with multiple inputs, iamrndm b, yes, 00:57:50, Tue, 3218, no, http://www.itk.org/pipermail/insight-users/2011-August/042157.html
itkTriangleMeshToBinaryImageFilter support for partial overlap?, Dženan Zukić, yes, 06:58:31, Tue, 3101, no, http://www.itk.org/pipermail/insight-users/2011-August/042294.html
Region Growing Segmentation to Marching Cubes Implementation, khaled danwar, yes, 11:07:58, Sat, 5752, no, http://www.itk.org/pipermail/insight-users/2011-August/042350.html
Filter with inputs which do not occupy the same physical space, Dženan Zukić, self only, 04:58:13, Tue, 4307, yes, http://www.itk.org/pipermail/insight-users/2011-August/042220.html
Visual Studio debugger visualizers for ITK, Dženan Zukić, self only, 11:35:17, Wed, 5762, yes, http://www.itk.org/pipermail/insight-users/2011-August/042241.html
itkvtkglue - cmake can't include (${ItkVtkGlue_USE_FILE}), Dženan Zukić, yes, 07:45:48, Mon, 6018, no, http://www.itk.org/pipermail/insight-users/2011-August/042129.html
itk example data, li xiuli, yes, 06:39:01, Tue, 3580, no, http://www.itk.org/pipermail/insight-users/2011-August/042160.html
How to know if the spacing and origins have values?, soheilghafurian, yes, 11:59:48, Sun, 3156, no, http://www.itk.org/pipermail/insight-users/2011-August/042354.html
New Submission: Interactive Correspondence Selection, Insight Journal, no, 10:17:34, Fri, 3638, no, http://www.itk.org/pipermail/insight-users/2011-August/042346.html
how to open a 16-bit image, soheilghafurian, yes, 16:06:50, Mon, 2827, no, http://www.itk.org/pipermail/insight-users/2011-August/042326.html
Problems about 3D construction with tetrahedral mesh from DICOM series, smallping, yes, 13:06:45, Thu, 11345, no, http://www.itk.org/pipermail/insight-users/2011-August/042190.html
ITK Shared Libs on Mac, Nicolas Rannou, no, 13:05:28, Thu, 8820, no, http://www.itk.org/pipermail/insight-users/2011-August/042256.html
Find somebody to help us to finish the project and pay money for the work, smallping, no, 17:34:56, Sat, 4884, no, http://www.itk.org/pipermail/insight-users/2011-August/042199.html
DRR generation problems, David Brayford, no, 15:48:07, Tue, 2578, no, http://www.itk.org/pipermail/insight-users/2011-August/042228.html
resampling an image to isotropic pixel size, Anja Ende, yes, 14:43:07, Mon, 2932, no, http://www.itk.org/pipermail/insight-users/2011-August/042212.html
Question about itkReconstructionByDilationImageFilter, qi yang, yes, 14:18:29, Thu, 5217, no, http://www.itk.org/pipermail/insight-users/2011-August/042191.html
How to load vector image .mha in matlab ?, Yi-Yu Chou, yes, 22:31:41, Sat, 2735, no, http://www.itk.org/pipermail/insight-users/2011-August/042353.html
Map results of itkLabelGeometryImageFilter to Image, Martijn Steenwijk, no, 13:25:56, Mon, 3239, no, http://www.itk.org/pipermail/insight-users/2011-August/042211.html
Curious Problem On Fast Marching Segmentation, Fan Yang, no, 05:02:42, Thu, 5045, yes, http://www.itk.org/pipermail/insight-users/2011-August/042183.html
z-axis ImagePositionPatient information lost on DICOM series write, Somer  Edward, yes, 04:42:00, Mon, 12687, no, http://www.itk.org/pipermail/insight-users/2011-August/042203.html
Agenda for Today's tcon, Luis Ibanez, no, 07:39:35, Fri, 2624, no, http://www.itk.org/pipermail/insight-users/2011-August/042195.html
How to write header information to Raw images?, Peymon, yes, 17:40:01, Mon, 3127, no, http://www.itk.org/pipermail/insight-users/2011-August/042330.html
Creating 3D images from 2D DICOM series, emreturkoz, yes, 00:13:49, Tue, 2934, no, http://www.itk.org/pipermail/insight-users/2011-August/042156.html
By sharing with open source projects  professors teach the importance of giving back, Luis Ibanez, no, 14:02:42, Sun, 2945, no, http://www.itk.org/pipermail/insight-users/2011-August/042320.html
The Insight Journal-New Submission, Insight Journal, self only, 08:06:09, Tue, 3453, no, http://www.itk.org/pipermail/insight-users/2011-August/042162.html
[Insight-developers] ITK Shared Libs on Mac, Luis Ibanez, yes, 16:16:27, Sat, 12030, no, http://www.itk.org/pipermail/insight-users/2011-August/042268.html
VTK volume to ITK image conversion crash, David Brayford, no, 12:11:49, Mon, 3317, no, http://www.itk.org/pipermail/insight-users/2011-August/042210.html
helloworld.exe not running, Aparna Srinivasan, yes, 06:05:42, Sun, 3433, no, http://www.itk.org/pipermail/insight-users/2011-August/042270.html
Errors building GIT source, Scott Johnson, no, 15:21:15, Mon, 6567, no, http://www.itk.org/pipermail/insight-users/2011-August/042363.html
Help with using itk::QuadEdgeMesh, Vimal Singh, yes, 15:10:59, Sun, 6123, no, http://www.itk.org/pipermail/insight-users/2011-August/042321.html
extract surface, oka, no, 08:13:35, Thu, 2606, no, http://www.itk.org/pipermail/insight-users/2011-August/042344.html
help for itkDeformationFieldTransform.txx, Luis Ibanez, no, 07:01:54, Thu, 3974, no, http://www.itk.org/pipermail/insight-users/2011-August/042185.html
itk::orientedimage to Dicom, mathilde.merle, yes, 05:01:57, Wed, 2830, no, http://www.itk.org/pipermail/insight-users/2011-August/042370.html
3D Registration with different spacings, Wolf  Levin, no, 11:59:02, Mon, 4019, no, http://www.itk.org/pipermail/insight-users/2011-August/042146.html
Determining how many slices a 3D object covers, Kevin Zhang, yes, 14:58:39, Thu, 3307, no, http://www.itk.org/pipermail/insight-users/2011-August/042257.html
build - "out of the box" on MacOSX 10.6.8, Rick Frank, yes, 10:21:09, Thu, 2820, no, http://www.itk.org/pipermail/insight-users/2011-August/042186.html
Polymorphism while using Registration Framework, Stefan König, self only, 04:55:00, Tue, 3336, no, http://www.itk.org/pipermail/insight-users/2011-August/042219.html
[Gdcm2] Link error for ITK+VTK+GDCM+QT inVisual Studio 2008, Jafari  Kourosh, yes, 07:40:49, Mon, 5231, no, http://www.itk.org/pipermail/insight-users/2011-August/042204.html
ITK - windows vs. linux, Jihun Kim, yes, 14:34:56, Wed, 2803, no, http://www.itk.org/pipermail/insight-users/2011-August/042308.html
Connected Components Example, Ryan Smith, yes, 11:32:00, Mon, 3588, yes, http://www.itk.org/pipermail/insight-users/2011-August/042282.html
problems with installation, gary smith, yes, 16:20:45, Fri, 9324, no, http://www.itk.org/pipermail/insight-users/2011-August/042347.html
Is it a bug?, 周翼翼, no, 07:03:31, Fri, 3653, no, http://www.itk.org/pipermail/insight-users/2011-August/042315.html
